id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
974,NA (Core size is 10 nm),,"0, 10, 20, 40 and 80 μg/mL Fe",Iron Oxide,Coated with PEI; loaded with siRNA,Toxic,10.0,,Classified Data,Iron Oxide,Toxic,SPION-PEI/siRNA complexes,inorganic,NA (Core size is 10 nm),167.3±12.1 nm (at mass ratio 8:1),,,,,Coated with PEI; loaded with siRNA,,,37°C,"0, 10, 20, 40 and 80 μg/mL Fe",3 mg Fe/kg body weight (single intravenous injection),Low cytotoxicity. Did not affect the metabolic activity in the range of 0–80 μg Fe/mL,,NA (No irreversible histopathological damage found),,,,,NA (Toxicity was very low in vivo),"In vitro: 24 h. In vivo: 8 h, 24 h, and 7 days.",HSC-T6 cell lines (in vitro); SPF SD rats (in vivo),https://doi.org/10.1007/s11596-018-1989-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,6.7±2.6 nm,−11.9±2.1 mV (Zebrafish water),"0.125, 0.5, 2.0, and 8.0 mM of Fe",Iron Oxide,Carboxy-silane (3-(triethoxysilyl) propylsuccinic anhydride (TEPSA)) (Shell ∼1 nm),Toxic,6.7,11.9,Classified Data,Iron Oxide,Toxic,"SPION-T (Superparamagnetic Iron Oxide Nanoparticle, Carboxy-silane-coated)",inorganic,6.7±2.6 nm,11.4±0.2 nm (Zebrafish water),Approximately spherical shape,,−11.9±2.1 mV (Zebrafish water),,Carboxy-silane (3-(triethoxysilyl) propylsuccinic anhydride (TEPSA)) (Shell ∼1 nm),,"6.5–8.5 (system water range), 7.0–7.5 (during treatments)",28±2 °C,,"0.125, 0.5, 2.0, and 8.0 mM of Fe",Survival rate similar to control (Low toxicity),,,,,,,,"120 h (5 days), starting at 1 hpf",Zebrafish (Danio rerio) larvae/embryos,https://doi.org/10.1007/s11051-020-04800-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,9.5±2.5 nm,−7.9±2.4 mV (Zebrafish water),"0.125, 0.5, 2.0, and 8.0 mM of Fe",Iron Oxide,"Polyethylene glycol (PEG) (Aminated-PEG, Mw 750 Da, added to SPION-T)",Toxic,9.5,7.9,Classified Data,Iron Oxide,Toxic,"SPION-T-PEG (Superparamagnetic Iron Oxide Nanoparticle, Polyethylene glycol-coated)",inorganic,9.5±2.5 nm,15.6±0.9 nm (Zebrafish water),Approximately spherical shape,,−7.9±2.4 mV (Zebrafish water),,"Polyethylene glycol (PEG) (Aminated-PEG, Mw 750 Da, added to SPION-T)",,"6.5–8.5 (system water range), 7.0–7.5 (during treatments)",28±2 °C,,"0.125, 0.5, 2.0, and 8.0 mM of Fe",Survival rate similar to control (Low toxicity),,,,,,,,"120 h (5 days), starting at 1 hpf",Zebrafish (Danio rerio) larvae/embryos,https://doi.org/10.1007/s11051-020-04800-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,,552 mg/mL,Iron Oxide,Albumin (Complexed/Coated),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPION-albumin complexes,inorganic,,,,,,,Albumin (Complexed/Coated),,,,,552 mg/mL,Relatively inert; no distinct structural alterations,"Slow, progressive local degradation over the six-month period",,,,,,,Six-month period (),wistar rats (subcutaneous implant),10.1088/1674-1056/22/12/127503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,29.5±4.6 nm (Includes coating),−18.9±0.5 mV (Zebrafish water),"0.125, 0.5, 2.0, and 8.0 mM of Fe",Iron Oxide,"Silica (SiO2) (Thick shell, ∼12 nm)",Toxic,29.5,18.9,Classified Data,Iron Oxide,Toxic,"SPION@SiO2 (Superparamagnetic Iron Oxide Nanoparticle, Silica-coated)",inorganic,29.5±4.6 nm (Includes coating),48.2±4.2 nm (Zebrafish water),Approximately spherical shape,,−18.9±0.5 mV (Zebrafish water),,"Silica (SiO2) (Thick shell, ∼12 nm)",,"6.5–8.5 (system water range), 7.0–7.5 (during treatments)",28±2 °C,,"0.125, 0.5, 2.0, and 8.0 mM of Fe",Survival rate similar to control (Low toxicity),,,,,,,,"120 h (5 days), starting at 1 hpf",Zebrafish (Danio rerio) larvae/embryos,https://doi.org/10.1007/s11051-020-04800-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,9,,0.92–23.05 mM,Iron Oxide,,Non-toxic,9.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs,inorganic,9,,,,,,,,,,0.92–23.05 mM,,No toxicity detected,,,,,,,,4 h,Cos-7 (monkey kidney cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,,,12 mg Fe/kg (IV),Iron Oxide,,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs,inorganic,,,,,,,,,,,,12 mg Fe/kg (IV),No toxicity observation,,,,,,,,,Rats harboring orthotopic 9L-gliosarcomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,29.78 ± 8.09 nm,,2 μL (10 μg/μL),Iron Oxide,,Toxic,29.78,,Classified Data,Iron Oxide,Toxic,SPIONs,inorganic,29.78 ± 8.09 nm,,,,,,,,,,,2 μL (10 μg/μL),Number of cell nuclei significantly decreased in the hippocampus,,,,,,,,7 and 14 days after surgery,C57BL/6J mice,10.1080/17435390.2020.1842934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,5 nm,,"0.4, 2, and 10 μg/kg",Iron Oxide,,Toxic,5.0,,Classified Data,Iron Oxide,Toxic,SPIONs,inorganic,5 nm,,,,,,,,,,,"0.4, 2, and 10 μg/kg",,,,,Cardiac oxidative stress,,,,Acute (1 h) effect of single intravenous injection,BALB/C mice,10.1080/17435390.2020.1842934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,112.40 ± 0.21 nm,,170 μg/kg,Iron Oxide,,Toxic,112.4,,Classified Data,Iron Oxide,Toxic,SPIONs,inorganic,112.40 ± 0.21 nm,,,,,,,,,,,170 μg/kg,Suppression of bone marrow proliferation (when mixed with SLNs),,,,,,,,5 consecutive days,Male Swiss albino mice (Mus musculus),10.1080/17435390.2020.1842934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,112.40 ± 0.21 nm,,170 μg/kg,Iron Oxide,,Toxic,112.4,,Classified Data,Iron Oxide,Toxic,SPIONs,inorganic,112.40 ± 0.21 nm,,,,,,,,,,,170 μg/kg,,,,,,,,,5 consecutive days,Male Swiss albino mice (Mus musculus),10.1080/17435390.2020.1842934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,,,0.05–0.5 mg/mL,Iron Oxide,"dextran, amino-dextran, heparin, and dimer-captosuccinic acid",Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs,inorganic,,,,,,,"dextran, amino-dextran, heparin, and dimer-captosuccinic acid",,,,0.05–0.5 mg/mL,,Viability of cell culture was not significantly affected,,,,,,,,24 h,HeLa (human cervical),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,,"0.2, 1, 5, and 20 mM",Iron Oxide,,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs,inorganic,,,various shapes (),,,,,,,,"0.2, 1, 5, and 20 mM",,Toxicity increased with concentration,,,,,,,,"3 h, 1 and 2 d",L929 (mouse),10.1088/1674-1056/22/12/127503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,12,,0–30 ppm,Iron Oxide,,Non-toxic,12.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs,inorganic,12,,,,,,,,,,0–30 ppm,,No or low toxicity,,,,,,,,72 h,3T3 (mouse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,,10 μg/mL,Iron Oxide,NA (Bare/Unknown),Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,10 μg/mL,,Mitochondrial function significantly altered (p < 0.01),,,,,,,,6 h,CNS astrocytes (human nerve cells),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,0–250 μg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,0–250 μg/mL,,50% decrease in viability at 250 μg/mL,,,,,,,,24 h,Liver BRL 3A (rat),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,0–250 μg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,0–250 μg/mL,,Toxic effect reported at 250 μg/mL,,,,,,,,24 h,BRL 3A (rat),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,,1 mg/mL,Iron Oxide,"PEG, insulin",Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,"PEG, insulin",,,,1 mg/mL,,99% viability for PEG-coated,,,,,,,,24 h,Skin dermal fibroblasts (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,0–26 μg/cm2,Iron Oxide,Dextran,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,Dextran,,,,0–26 μg/cm2,,5% reduction in viability at 26 μg/cm2,,,,Activation of AP-1 ( cellular stress),,,,24 h,Murine epidermal cells (JB6 P+),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,4 mg/mL,Iron Oxide,silica,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,silica,,,,4 mg/mL,,,,,,,,4 mg/mL,,24 h,A549 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,,,90 μg/mL,Iron Oxide,PEI,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,PEI,,,,90 μg/mL,,Cell viability > 80% (acceptable),,,,,,,,24–48 h,H441 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,,,,Iron Oxide,PLL,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,PLL,,,,,,Long-term viability and apoptotic indices unaffected,,,,,,,,1–43 days,Mesenchyma MSC (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,,,50–250 μg/mL,Iron Oxide,NA (Bare/Unknown),Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,50–250 μg/mL,,Did not affect apoptosis,,,,,,,,24–72 H,MSC (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,,,,Iron Oxide,PLL,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs ,inorganic,,,,,,,PLL,,,,,,"Viability, growth rate, and apoptotic indices were unaffected",,,,,,,,1–43 days,Cervix HeLa (human cervical),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,,up to 4 mg/mL,Iron Oxide,Dextran,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Dextran,,,,up to 4 mg/mL,,No change in cell viability,,,,,,,,48 h,Schwann cell,10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,,0.1–100 μg/mL,Iron Oxide,tetramethylammonium 11-aminoundecanoate,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,tetramethylammonium 11-aminoundecanoate,,,,0.1–100 μg/mL,,Concentration dependent toxicity,,,,,,,,24 h,Glioma,10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,1–200 μg/mL,Iron Oxide,Dextran,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Dextran,,,,1–200 μg/mL,,Higher toxicity exhibited compared to bare SPIONs,,,,,,,,24 h,GL261 (mouse brain),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,Associated with toxicity,0.03–3000 μg/mL,Iron Oxide,amine-surface,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,Associated with toxicity,,amine-surface,,,,0.03–3000 μg/mL,,,,,,,,,,4 h to 5 days,Hep G2 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,280 μg/mL,Iron Oxide,Dextran,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Dextran,,,,280 μg/mL,,Viability similar to control islets,,,,,,,,,Pancreas human islet,10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,Iron Oxide,Lactoferrin or ceruloplasmin,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Lactoferrin or ceruloplasmin,,,,,,NA (Attached to the cell membrane),,,,,,,,,hTERT-BJ1 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,800 mM,Iron Oxide,PVA,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,PVA,,,,800 mM,,Confirmed presence of gas vesicles inside cells,,,,,,,,72 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,0.2 mM,Iron Oxide,PVA,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,PVA,,,,0.2 mM,,Morphology and size dependent toxicity,,,,,,,,24 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,0.4–1.6 M,Iron Oxide,PEGF and PVA,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,PEGF and PVA,,,,0.4–1.6 M,,Morphology and size dependent toxicity,,,,,,,,24–72 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,800 mM,Iron Oxide,PEGF,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,Did not change cell shape notably,,,,PEGF,,,,800 mM,,Cells appeared not to be damaged,,,,,,,,24–72 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,Iron Oxide,PAA,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,PAA,,,,,,No observable toxicity was found,,,,,,,,48 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,Iron Oxide,Chitosan,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Chitosan,,,,,,No observable toxicity was found,,,,,,,,48 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,Iron Oxide,Chitosan/Glutar-aldehyde,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Chitosan/Glutar-aldehyde,,,,,,No observable toxicity was found,,,,,,,,24 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,Iron Oxide,Oleic acid/betain HCl,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,Oleic acid/betain HCl,,,,,,No observable toxicity was found,,,,,,,,24 h,L929 (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,1 mg/mL,Iron Oxide,ethylene glycol,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,ethylene glycol,,,,1 mg/mL,,No significant difference in the viability of Cells,,,,,,,,24 h,HS68 (human foreskin),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,0.01–100 mg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,0.01–100 mg/mL,,Cell viability decreased in a dose-dependent manner,,,,,,,,24 h,HaCaT (human keratinocyte cells),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,Rod shaped,,,,NA (Bare/Unknown),,,,,,,,Higher degree of necrosis,,,,,,,Mouse,10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,0.15 μg,Iron Oxide,scAbCD3,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,scAbCD3,,,,0.15 μg,,No detectable toxicity,,,,,,,,48 h,T lymphocyte cell line (rat),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
